path,dataset,speaker,emotion
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-01-01.wav,RAVDESS,Actor_01,neutral
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-02-01.wav,RAVDESS,Actor_01,neutral
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-01-01.wav,RAVDESS,Actor_01,neutral
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-02-01.wav,RAVDESS,Actor_01,neutral
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-01-01.wav,RAVDESS,Actor_01,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-02-01.wav,RAVDESS,Actor_01,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-01-01.wav,RAVDESS,Actor_01,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-02-01.wav,RAVDESS,Actor_01,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-01-01.wav,RAVDESS,Actor_01,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-02-01.wav,RAVDESS,Actor_01,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-01-01.wav,RAVDESS,Actor_01,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-02-01.wav,RAVDESS,Actor_01,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-01-01.wav,RAVDESS,Actor_01,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-02-01.wav,RAVDESS,Actor_01,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-01-01.wav,RAVDESS,Actor_01,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-02-01.wav,RAVDESS,Actor_01,happy
